time,currency,selling,buying,eff_buying,eff_selling
31-08-20_09:44,USD,7.3082,7.3815,7.2972,7.4036
31-08-20_09:45,USD,7.3082,7.3815,7.2972,7.4036
31-08-20_09:46,USD,7.3082,7.3815,7.2972,7.4036
31-08-20_09:46,USD,7.3082,7.3815,7.2972,7.4036
31-08-20_09:47,USD,7.3082,7.3815,7.2972,7.4036
31-08-20_09:47,USD,7.3082,7.3815,7.2972,7.4036
31-08-20_09:48,USD,7.3082,7.3815,7.2972,7.4036
31-08-20_09:49,USD,7.3082,7.3815,7.2972,7.4036
31-08-20_09:49,USD,7.3082,7.3815,7.2972,7.4036
31-08-20_09:50,USD,7.3082,7.3815,7.2972,7.4036
31-08-20_09:50,USD,7.3082,7.3815,7.2972,7.4036
31-08-20_09:51,USD,7.3149,7.3883,7.3039,7.4105
31-08-20_09:52,USD,7.3149,7.3883,7.3039,7.4105
31-08-20_09:52,USD,7.3149,7.3883,7.3039,7.4105
31-08-20_09:53,USD,7.3149,7.3883,7.3039,7.4105
31-08-20_09:53,USD,7.3149,7.3883,7.3039,7.4105
31-08-20_09:54,USD,7.3149,7.3883,7.3039,7.4105
31-08-20_09:55,USD,7.3149,7.3883,7.3039,7.4105
31-08-20_09:55,USD,7.3149,7.3883,7.3039,7.4105
31-08-20_09:56,USD,7.3149,7.3883,7.3039,7.4105
31-08-20_09:57,USD,7.3149,7.3883,7.3039,7.4105
31-08-20_09:57,USD,7.3149,7.3883,7.3039,7.4105
31-08-20_09:58,USD,7.3149,7.3883,7.3039,7.4105
31-08-20_09:58,USD,7.3149,7.3883,7.3039,7.4105
31-08-20_09:59,USD,7.3149,7.3883,7.3039,7.4105
31-08-20_10:00,USD,7.3149,7.3883,7.3039,7.4105
31-08-20_10:00,USD,7.3149,7.3883,7.3039,7.4105
31-08-20_10:01,USD,7.3149,7.3883,7.3039,7.4105
31-08-20_10:01,USD,7.3218,7.3954,7.3108,7.4176
31-08-20_10:02,USD,7.3218,7.3954,7.3108,7.4176
31-08-20_10:03,USD,7.3218,7.3954,7.3108,7.4176
31-08-20_10:03,USD,7.3218,7.3954,7.3108,7.4176
31-08-20_10:04,USD,7.3218,7.3954,7.3108,7.4176
31-08-20_10:04,USD,7.3218,7.3954,7.3108,7.4176
31-08-20_10:05,USD,7.3218,7.3954,7.3108,7.4176
31-08-20_10:06,USD,7.3218,7.3954,7.3108,7.4176
31-08-20_10:06,USD,7.3218,7.3954,7.3108,7.4176
31-08-20_10:07,USD,7.3218,7.3954,7.3108,7.4176
31-08-20_10:07,USD,7.3218,7.3954,7.3108,7.4176
31-08-20_10:08,USD,7.3218,7.3954,7.3108,7.4176
31-08-20_10:09,USD,7.3218,7.3954,7.3108,7.4176
31-08-20_10:09,USD,7.3218,7.3954,7.3108,7.4176
31-08-20_10:10,USD,7.3218,7.3954,7.3108,7.4176
31-08-20_10:10,USD,7.3218,7.3954,7.3108,7.4176
31-08-20_10:11,USD,7.3218,7.3954,7.3108,7.4176
31-08-20_10:12,USD,7.3186,7.3921,7.3076,7.4143
31-08-20_10:12,USD,7.3186,7.3921,7.3076,7.4143
31-08-20_10:13,USD,7.3186,7.3921,7.3076,7.4143
31-08-20_10:13,USD,7.3186,7.3921,7.3076,7.4143
31-08-20_10:14,USD,7.3186,7.3921,7.3076,7.4143
31-08-20_10:15,USD,7.3186,7.3921,7.3076,7.4143
31-08-20_10:15,USD,7.3186,7.3921,7.3076,7.4143
31-08-20_10:16,USD,7.3186,7.3921,7.3076,7.4143
31-08-20_10:16,USD,7.3186,7.3921,7.3076,7.4143
31-08-20_10:17,USD,7.3186,7.3921,7.3076,7.4143
31-08-20_10:18,USD,7.3186,7.3921,7.3076,7.4143
31-08-20_10:18,USD,7.3186,7.3921,7.3076,7.4143
31-08-20_10:19,USD,7.3186,7.3921,7.3076,7.4143
31-08-20_10:19,USD,7.3186,7.3921,7.3076,7.4143
31-08-20_10:20,USD,7.3186,7.3921,7.3076,7.4143
31-08-20_10:21,USD,7.3186,7.3921,7.3076,7.4143
31-08-20_10:21,USD,7.3186,7.3921,7.3076,7.4143
31-08-20_10:22,USD,7.3253,7.3989,7.3143,7.4211
31-08-20_10:22,USD,7.3253,7.3989,7.3143,7.4211
31-08-20_10:23,USD,7.3253,7.3989,7.3143,7.4211
31-08-20_10:24,USD,7.3253,7.3989,7.3143,7.4211
31-08-20_10:24,USD,7.3253,7.3989,7.3143,7.4211
31-08-20_10:25,USD,7.3253,7.3989,7.3143,7.4211
31-08-20_10:25,USD,7.3253,7.3989,7.3143,7.4211
31-08-20_10:26,USD,7.3253,7.3989,7.3143,7.4211
31-08-20_10:27,USD,7.3253,7.3989,7.3143,7.4211
31-08-20_10:27,USD,7.3253,7.3989,7.3143,7.4211
31-08-20_10:28,USD,7.3253,7.3989,7.3143,7.4211
31-08-20_10:28,USD,7.3253,7.3989,7.3143,7.4211
31-08-20_10:29,USD,7.3253,7.3989,7.3143,7.4211
31-08-20_10:30,USD,7.3253,7.3989,7.3143,7.4211
31-08-20_10:30,USD,7.3253,7.3989,7.3143,7.4211
31-08-20_10:31,USD,7.3253,7.3989,7.3143,7.4211
31-08-20_10:31,USD,7.3253,7.3989,7.3143,7.4211
31-08-20_10:32,USD,7.3263,7.3999,7.3153,7.4221
31-08-20_10:33,USD,7.3263,7.3999,7.3153,7.4221
31-08-20_10:33,USD,7.3263,7.3999,7.3153,7.4221
31-08-20_10:34,USD,7.3263,7.3999,7.3153,7.4221
31-08-20_10:34,USD,7.3263,7.3999,7.3153,7.4221
31-08-20_10:35,USD,7.3263,7.3999,7.3153,7.4221
31-08-20_10:36,USD,7.3263,7.3999,7.3153,7.4221
31-08-20_10:36,USD,7.3263,7.3999,7.3153,7.4221
31-08-20_10:37,USD,7.3263,7.3999,7.3153,7.4221
31-08-20_10:38,USD,7.3263,7.3999,7.3153,7.4221
31-08-20_10:38,USD,7.3263,7.3999,7.3153,7.4221
31-08-20_10:39,USD,7.3263,7.3999,7.3153,7.4221
31-08-20_10:39,USD,7.3263,7.3999,7.3153,7.4221
31-08-20_10:40,USD,7.3263,7.3999,7.3153,7.4221
31-08-20_10:41,USD,7.3263,7.3999,7.3153,7.4221
31-08-20_10:41,USD,7.3263,7.3999,7.3153,7.4221
31-08-20_10:42,USD,7.3263,7.3999,7.3153,7.4221
31-08-20_10:42,USD,7.3204,7.3938,7.3094,7.416
31-08-20_10:43,USD,7.3204,7.3938,7.3094,7.416
31-08-20_10:44,USD,7.3204,7.3938,7.3094,7.416
31-08-20_10:44,USD,7.3204,7.3938,7.3094,7.416
31-08-20_10:45,USD,7.3204,7.3938,7.3094,7.416
31-08-20_10:45,USD,7.3204,7.3938,7.3094,7.416
31-08-20_10:46,USD,7.3204,7.3938,7.3094,7.416
31-08-20_10:47,USD,7.3204,7.3938,7.3094,7.416
31-08-20_10:47,USD,7.3204,7.3938,7.3094,7.416
31-08-20_10:48,USD,7.3204,7.3938,7.3094,7.416
31-08-20_10:48,USD,7.3204,7.3938,7.3094,7.416
31-08-20_10:49,USD,7.3204,7.3938,7.3094,7.416
31-08-20_10:50,USD,7.3204,7.3938,7.3094,7.416
31-08-20_10:50,USD,7.3204,7.3938,7.3094,7.416
31-08-20_10:51,USD,7.3204,7.3938,7.3094,7.416
31-08-20_10:51,USD,7.3204,7.3938,7.3094,7.416
31-08-20_10:52,USD,7.3204,7.3938,7.3094,7.416
31-08-20_10:53,USD,7.3108,7.3842,7.2998,7.4064
31-08-20_10:53,USD,7.3108,7.3842,7.2998,7.4064
31-08-20_10:54,USD,7.3108,7.3842,7.2998,7.4064
31-08-20_10:54,USD,7.3108,7.3842,7.2998,7.4064
31-08-20_10:55,USD,7.3108,7.3842,7.2998,7.4064
31-08-20_10:56,USD,7.3108,7.3842,7.2998,7.4064
31-08-20_10:56,USD,7.3108,7.3842,7.2998,7.4064
31-08-20_10:57,USD,7.3108,7.3842,7.2998,7.4064
