time,currency,selling,buying
31-08-20_11:29,USD,7.3126,7.3751
31-08-20_11:29,USD,7.3124,7.3751
31-08-20_11:30,USD,7.3124,7.3751
31-08-20_11:30,USD,7.312,7.3746
31-08-20_11:31,USD,7.312,7.3746
31-08-20_11:32,USD,7.3075,7.3726
31-08-20_11:32,USD,7.3075,7.3726
31-08-20_11:33,USD,7.3077,7.3722
31-08-20_11:33,USD,7.3077,7.3722
31-08-20_11:34,USD,7.3075,7.3714
31-08-20_11:35,USD,7.3075,7.3714
31-08-20_11:35,USD,7.3075,7.3714
31-08-20_11:36,USD,7.3085,7.3727
31-08-20_11:36,USD,7.3085,7.3727
31-08-20_11:37,USD,7.3082,7.3727
31-08-20_11:38,USD,7.3082,7.3727
31-08-20_11:38,USD,7.3072,7.3709
31-08-20_11:39,USD,7.3072,7.3709
31-08-20_11:39,USD,7.3053,7.369
31-08-20_11:40,USD,7.3053,7.369
31-08-20_11:41,USD,7.3053,7.369
31-08-20_11:41,USD,7.3054,7.3686
31-08-20_11:42,USD,7.3054,7.3686
31-08-20_11:43,USD,7.304,7.3666
31-08-20_11:43,USD,7.304,7.3666
31-08-20_11:44,USD,7.3012,7.3622
31-08-20_11:44,USD,7.3012,7.3622
31-08-20_11:45,USD,7.3012,7.3619
31-08-20_11:46,USD,7.3012,7.3619
31-08-20_11:46,USD,7.3002,7.3619
31-08-20_11:47,USD,7.3002,7.3619
31-08-20_11:47,USD,7.3002,7.3619
31-08-20_11:48,USD,7.3001,7.3619
31-08-20_11:48,USD,7.3001,7.3619
31-08-20_11:49,USD,7.3042,7.3659
31-08-20_11:50,USD,7.3042,7.3659
31-08-20_11:50,USD,7.304,7.3658
31-08-20_11:51,USD,7.304,7.3658
31-08-20_11:52,USD,7.3039,7.3657
31-08-20_11:52,USD,7.3039,7.3657
31-08-20_11:53,USD,7.3042,7.3658
31-08-20_11:53,USD,7.3042,7.3658
31-08-20_11:54,USD,7.3042,7.3658
31-08-20_11:55,USD,7.3056,7.3655
31-08-20_11:55,USD,7.3056,7.3655
31-08-20_11:56,USD,7.3054,7.3657
31-08-20_11:56,USD,7.3054,7.3657
31-08-20_11:57,USD,7.306,7.366
31-08-20_11:58,USD,7.306,7.366
31-08-20_11:58,USD,7.3094,7.3708
31-08-20_11:59,USD,7.3094,7.3708
31-08-20_11:59,USD,7.309,7.3714
31-08-20_12:00,USD,7.309,7.3714
31-08-20_12:01,USD,7.309,7.3714
31-08-20_12:01,USD,7.3087,7.3711
31-08-20_12:02,USD,7.3087,7.3711
31-08-20_12:02,USD,7.3116,7.3736
31-08-20_12:03,USD,7.3116,7.3736
31-08-20_12:04,USD,7.3083,7.3707
31-08-20_12:04,USD,7.3083,7.3707
31-08-20_12:05,USD,7.3095,7.3717
31-08-20_12:05,USD,7.3095,7.3717
31-08-20_12:06,USD,7.3095,7.3717
31-08-20_12:07,USD,7.312,7.3752
31-08-20_12:07,USD,7.312,7.3752
31-08-20_12:08,USD,7.312,7.3752
31-08-20_12:08,USD,7.312,7.3752
31-08-20_12:09,USD,7.3123,7.3758
31-08-20_12:10,USD,7.3123,7.3758
31-08-20_12:10,USD,7.3125,7.3758
31-08-20_12:11,USD,7.3125,7.3758
31-08-20_12:11,USD,7.3151,7.3766
31-08-20_12:12,USD,7.3151,7.3766
31-08-20_12:13,USD,7.3151,7.3766
31-08-20_12:13,USD,7.3151,7.3768
31-08-20_12:14,USD,7.3151,7.3768
31-08-20_12:14,USD,7.3151,7.3769
31-08-20_12:15,USD,7.3151,7.3769
31-08-20_12:16,USD,7.3152,7.3768
31-08-20_12:16,USD,7.3152,7.3768
31-08-20_12:17,USD,7.3146,7.3766
