time,currency,selling,buying
31-08-20_10:18,USD,7.34564,7.41364
31-08-20_10:18,USD,7.34564,7.41364
31-08-20_10:19,USD,7.34564,7.41364
31-08-20_10:20,USD,7.34564,7.41364
31-08-20_10:20,USD,7.34564,7.41364
31-08-20_10:21,USD,7.34564,7.41364
31-08-20_10:21,USD,7.34294,7.41094
31-08-20_10:22,USD,7.34294,7.41094
31-08-20_10:22,USD,7.34564,7.41364
31-08-20_10:23,USD,7.34564,7.41364
31-08-20_10:24,USD,7.34564,7.41364
31-08-20_10:24,USD,7.34564,7.41364
31-08-20_10:25,USD,7.34564,7.41364
31-08-20_10:25,USD,7.34564,7.41364
31-08-20_10:26,USD,7.34564,7.41364
31-08-20_10:26,USD,7.34564,7.41364
31-08-20_10:27,USD,7.34564,7.41364
31-08-20_10:28,USD,7.34564,7.41364
31-08-20_10:28,USD,7.34564,7.41364
31-08-20_10:29,USD,7.34564,7.41364
31-08-20_10:29,USD,7.34564,7.41364
31-08-20_10:30,USD,7.34564,7.41364
31-08-20_10:30,USD,7.34564,7.41364
31-08-20_10:31,USD,7.34564,7.41364
31-08-20_10:31,USD,7.34565,7.41365
31-08-20_10:32,USD,7.34565,7.41365
31-08-20_10:33,USD,7.34564,7.41364
31-08-20_10:33,USD,7.34564,7.41364
31-08-20_10:34,USD,7.34564,7.41364
31-08-20_10:34,USD,7.34564,7.41364
31-08-20_10:35,USD,7.34564,7.41364
31-08-20_10:35,USD,7.33217,7.40017
31-08-20_10:36,USD,7.34564,7.41364
31-08-20_10:37,USD,7.34564,7.41364
31-08-20_10:37,USD,7.34023,7.40823
31-08-20_10:38,USD,7.34023,7.40823
31-08-20_10:38,USD,7.34023,7.40823
31-08-20_10:39,USD,7.34023,7.40823
31-08-20_10:39,USD,7.34023,7.40823
31-08-20_10:40,USD,7.34023,7.40823
31-08-20_10:41,USD,7.34023,7.40823
31-08-20_10:41,USD,7.34023,7.40823
31-08-20_10:42,USD,7.34023,7.40823
31-08-20_10:42,USD,7.34023,7.40823
31-08-20_10:43,USD,7.34023,7.40823
31-08-20_10:43,USD,7.34023,7.40823
31-08-20_10:44,USD,7.34023,7.40823
31-08-20_10:44,USD,7.34023,7.40823
31-08-20_10:45,USD,7.34023,7.40823
31-08-20_10:46,USD,7.34023,7.40823
31-08-20_10:46,USD,7.34023,7.40823
31-08-20_10:47,USD,7.34023,7.40823
31-08-20_10:47,USD,7.33754,7.40554
31-08-20_10:48,USD,7.33753,7.40553
31-08-20_10:48,USD,7.33753,7.40553
31-08-20_10:49,USD,7.33753,7.40553
31-08-20_10:50,USD,7.33753,7.40553
31-08-20_10:50,USD,7.33753,7.40553
31-08-20_10:51,USD,7.33753,7.40553
31-08-20_10:51,USD,7.33753,7.40553
31-08-20_10:52,USD,7.33483,7.40283
31-08-20_10:52,USD,7.33483,7.40283
31-08-20_10:53,USD,7.33483,7.40283
31-08-20_10:53,USD,7.33483,7.40283
31-08-20_10:54,USD,7.33483,7.40283
31-08-20_10:55,USD,7.33483,7.40283
31-08-20_10:55,USD,7.33483,7.40283
31-08-20_10:56,USD,7.33753,7.40553
31-08-20_10:56,USD,7.33753,7.40553
31-08-20_10:57,USD,7.33753,7.40553
31-08-20_10:57,USD,7.33753,7.40553
31-08-20_10:58,USD,7.33483,7.40283
31-08-20_10:59,USD,7.33483,7.40283
31-08-20_10:59,USD,7.33483,7.40283
31-08-20_11:00,USD,7.33483,7.40283
31-08-20_11:00,USD,7.32139,7.38939
31-08-20_11:01,USD,7.32139,7.38939
31-08-20_11:01,USD,7.32139,7.38939
31-08-20_11:02,USD,7.32139,7.38939
31-08-20_11:02,USD,7.33483,7.40283
31-08-20_11:03,USD,7.33483,7.40283
31-08-20_11:04,USD,7.33483,7.40283
31-08-20_11:04,USD,7.33483,7.40283
31-08-20_11:05,USD,7.33483,7.40283
31-08-20_11:05,USD,7.33483,7.40283
31-08-20_11:06,USD,7.33483,7.40283
31-08-20_11:06,USD,7.33483,7.40283
31-08-20_11:07,USD,7.33483,7.40283
31-08-20_11:08,USD,7.33483,7.40283
31-08-20_11:08,USD,7.33483,7.40283
31-08-20_11:09,USD,7.33483,7.40283
31-08-20_11:09,USD,7.33483,7.40283
31-08-20_11:10,USD,7.33483,7.40283
31-08-20_11:10,USD,7.33483,7.40283
31-08-20_11:11,USD,7.33483,7.40283
31-08-20_11:11,USD,7.33483,7.40283
31-08-20_11:12,USD,7.33483,7.40283
31-08-20_11:13,USD,7.33483,7.40283
31-08-20_11:13,USD,7.33483,7.40283
31-08-20_11:14,USD,7.32139,7.38939
31-08-20_11:14,USD,7.33483,7.40283
31-08-20_11:15,USD,7.33483,7.40283
31-08-20_11:15,USD,7.33483,7.40283
31-08-20_11:16,USD,7.33483,7.40283
31-08-20_11:17,USD,7.32139,7.38939
31-08-20_11:17,USD,7.32139,7.38939
31-08-20_11:18,USD,7.33483,7.40283
31-08-20_11:18,USD,7.33483,7.40283
