time,currency,selling,buying
31-08-20_10:10,USD,7.3181,7.3841
31-08-20_10:11,USD,7.3193,7.3854
31-08-20_10:11,USD,7.3193,7.3854
31-08-20_10:12,USD,7.3194,7.3855
31-08-20_10:12,USD,7.3194,7.3855
31-08-20_10:13,USD,7.3194,7.3855
31-08-20_10:13,USD,7.3206,7.3867
31-08-20_10:14,USD,7.3206,7.3867
31-08-20_10:14,USD,7.3211,7.3872
31-08-20_10:15,USD,7.3211,7.3872
31-08-20_10:15,USD,7.3221,7.3883
31-08-20_10:16,USD,7.3221,7.3883
31-08-20_10:16,USD,7.3192,7.3853
31-08-20_10:17,USD,7.3192,7.3853
31-08-20_10:17,USD,7.3189,7.385
31-08-20_10:18,USD,7.3189,7.385
31-08-20_10:18,USD,7.3201,7.3862
31-08-20_10:19,USD,7.3201,7.3862
31-08-20_10:19,USD,7.3204,7.3865
31-08-20_10:20,USD,7.3204,7.3865
31-08-20_10:20,USD,7.3204,7.3865
31-08-20_10:21,USD,7.3204,7.3865
31-08-20_10:22,USD,7.3196,7.3857
31-08-20_10:22,USD,7.3196,7.3857
31-08-20_10:23,USD,7.32,7.3861
31-08-20_10:23,USD,7.32,7.3861
31-08-20_10:24,USD,7.3201,7.3862
31-08-20_10:24,USD,7.3201,7.3862
31-08-20_10:25,USD,7.3205,7.3866
31-08-20_10:25,USD,7.3205,7.3866
31-08-20_10:26,USD,7.3207,7.3868
31-08-20_10:26,USD,7.3207,7.3868
31-08-20_10:27,USD,7.3207,7.3868
31-08-20_10:27,USD,7.3207,7.3868
31-08-20_10:28,USD,7.3212,7.3873
31-08-20_10:28,USD,7.3212,7.3873
31-08-20_10:29,USD,7.3202,7.3863
31-08-20_10:29,USD,7.3202,7.3863
31-08-20_10:30,USD,7.3204,7.3865
31-08-20_10:30,USD,7.3204,7.3865
31-08-20_10:31,USD,7.3209,7.387
31-08-20_10:31,USD,7.3209,7.387
31-08-20_10:32,USD,7.3213,7.3874
31-08-20_10:32,USD,7.3213,7.3874
31-08-20_10:33,USD,7.3214,7.3876
31-08-20_10:33,USD,7.3214,7.3876
31-08-20_10:34,USD,7.3209,7.387
31-08-20_10:34,USD,7.3209,7.387
31-08-20_10:35,USD,7.3192,7.3853
31-08-20_10:35,USD,7.3192,7.3853
31-08-20_10:36,USD,7.3185,7.3845
31-08-20_10:36,USD,7.3185,7.3845
31-08-20_10:37,USD,7.3161,7.3821
31-08-20_10:37,USD,7.3161,7.3821
31-08-20_10:38,USD,7.3156,7.3816
31-08-20_10:38,USD,7.3156,7.3816
31-08-20_10:39,USD,7.3162,7.3822
31-08-20_10:39,USD,7.3162,7.3822
31-08-20_10:40,USD,7.3156,7.3816
31-08-20_10:40,USD,7.3156,7.3816
31-08-20_10:41,USD,7.3145,7.3805
31-08-20_10:42,USD,7.3145,7.3805
31-08-20_10:42,USD,7.3146,7.3806
31-08-20_10:43,USD,7.3146,7.3806
31-08-20_10:43,USD,7.315,7.381
31-08-20_10:44,USD,7.315,7.381
31-08-20_10:44,USD,7.315,7.381
31-08-20_10:45,USD,7.3141,7.3801
31-08-20_10:45,USD,7.3141,7.3801
31-08-20_10:46,USD,7.3141,7.3801
31-08-20_10:46,USD,7.3141,7.3801
31-08-20_10:47,USD,7.3138,7.3798
31-08-20_10:47,USD,7.3138,7.3798
31-08-20_10:48,USD,7.3129,7.3789
31-08-20_10:48,USD,7.3129,7.3789
31-08-20_10:49,USD,7.3131,7.3791
31-08-20_10:49,USD,7.3131,7.3791
31-08-20_10:50,USD,7.3129,7.3789
31-08-20_10:50,USD,7.3129,7.3789
31-08-20_10:51,USD,7.313,7.379
31-08-20_10:51,USD,7.313,7.379
31-08-20_10:52,USD,7.3129,7.3789
31-08-20_10:52,USD,7.3129,7.3789
31-08-20_10:53,USD,7.3126,7.3786
31-08-20_10:53,USD,7.3126,7.3786
31-08-20_10:54,USD,7.3122,7.3782
31-08-20_10:54,USD,7.3122,7.3782
31-08-20_10:55,USD,7.313,7.379
31-08-20_10:55,USD,7.313,7.379
31-08-20_10:56,USD,7.3125,7.3785
31-08-20_10:56,USD,7.3125,7.3785
31-08-20_10:57,USD,7.3126,7.3786
31-08-20_10:57,USD,7.3126,7.3786
31-08-20_10:58,USD,7.3115,7.3775
31-08-20_10:58,USD,7.3115,7.3775
31-08-20_10:59,USD,7.3117,7.3777
31-08-20_11:00,USD,7.3117,7.3777
31-08-20_11:00,USD,7.3104,7.3764
31-08-20_11:01,USD,7.3104,7.3764
31-08-20_11:01,USD,7.311,7.377
31-08-20_11:02,USD,7.311,7.377
31-08-20_11:02,USD,7.31,7.376
31-08-20_11:03,USD,7.31,7.376
31-08-20_11:03,USD,7.3098,7.3758
31-08-20_11:04,USD,7.3098,7.3758
31-08-20_11:04,USD,7.3107,7.3767
31-08-20_11:05,USD,7.3107,7.3767
31-08-20_11:05,USD,7.3108,7.3768
31-08-20_11:06,USD,7.3108,7.3768
31-08-20_11:06,USD,7.3109,7.3769
31-08-20_11:07,USD,7.311,7.377
31-08-20_11:07,USD,7.311,7.377
31-08-20_11:08,USD,7.3112,7.3772
31-08-20_11:08,USD,7.3112,7.3772
31-08-20_11:09,USD,7.3111,7.3771
31-08-20_11:09,USD,7.3111,7.3771
31-08-20_11:10,USD,7.3108,7.3768
31-08-20_11:10,USD,7.3108,7.3768
31-08-20_11:11,USD,7.3106,7.3766
31-08-20_11:11,USD,7.3106,7.3766
31-08-20_11:12,USD,7.3107,7.3767
31-08-20_11:12,USD,7.3107,7.3767
31-08-20_11:13,USD,7.3109,7.3769
31-08-20_11:13,USD,7.3109,7.3769
31-08-20_11:14,USD,7.3099,7.3759
31-08-20_11:14,USD,7.3099,7.3759
31-08-20_11:15,USD,7.3108,7.3768
31-08-20_11:15,USD,7.3108,7.3768
31-08-20_11:16,USD,7.3109,7.3769
31-08-20_11:16,USD,7.3109,7.3769
31-08-20_11:17,USD,7.3109,7.3769
31-08-20_11:18,USD,7.3109,7.3769
31-08-20_11:18,USD,7.3103,7.3763
31-08-20_11:19,USD,7.3103,7.3763
31-08-20_11:19,USD,7.3098,7.3758
31-08-20_11:20,USD,7.3098,7.3758
31-08-20_11:20,USD,7.3098,7.3758
31-08-20_11:21,USD,7.3098,7.3758
31-08-20_11:21,USD,7.3097,7.3757
31-08-20_11:22,USD,7.3097,7.3757
31-08-20_11:22,USD,7.3098,7.3758
31-08-20_11:23,USD,7.3098,7.3758
31-08-20_11:23,USD,7.3084,7.3744
31-08-20_11:24,USD,7.3084,7.3744
31-08-20_11:24,USD,7.3077,7.3737
31-08-20_11:25,USD,7.3077,7.3737
31-08-20_11:25,USD,7.3076,7.3736
31-08-20_11:26,USD,7.3076,7.3736
31-08-20_11:26,USD,7.3077,7.3737
31-08-20_11:27,USD,7.3077,7.3737
31-08-20_11:27,USD,7.3069,7.3729
31-08-20_11:28,USD,7.3069,7.3729
31-08-20_11:28,USD,7.3068,7.3728
31-08-20_11:29,USD,7.3068,7.3728
31-08-20_11:29,USD,7.3065,7.3725
31-08-20_11:30,USD,7.3037,7.3697
31-08-20_11:30,USD,7.3037,7.3697
31-08-20_11:31,USD,7.3036,7.3696
31-08-20_11:31,USD,7.3036,7.3696
31-08-20_11:32,USD,7.3029,7.3689
31-08-20_11:32,USD,7.3029,7.3689
31-08-20_11:33,USD,7.303,7.369
31-08-20_11:33,USD,7.303,7.369
31-08-20_11:34,USD,7.3054,7.3714
31-08-20_11:34,USD,7.3054,7.3714
31-08-20_11:35,USD,7.3043,7.3703
31-08-20_11:36,USD,7.3043,7.3703
31-08-20_11:36,USD,7.3041,7.3701
31-08-20_11:37,USD,7.3041,7.3701
31-08-20_11:37,USD,7.3023,7.3683
31-08-20_11:38,USD,7.3023,7.3683
31-08-20_11:38,USD,7.301,7.367
31-08-20_11:39,USD,7.301,7.367
31-08-20_11:39,USD,7.301,7.367
31-08-20_11:40,USD,7.301,7.367
31-08-20_11:40,USD,7.3007,7.3667
31-08-20_11:41,USD,7.3007,7.3667
31-08-20_11:41,USD,7.298,7.3639
31-08-20_11:42,USD,7.298,7.3639
31-08-20_11:42,USD,7.2984,7.3643
31-08-20_11:43,USD,7.2984,7.3643
31-08-20_11:43,USD,7.2984,7.3643
31-08-20_11:44,USD,7.2984,7.3643
31-08-20_11:44,USD,7.2984,7.3643
31-08-20_11:45,USD,7.2984,7.3643
31-08-20_11:45,USD,7.2981,7.364
31-08-20_11:46,USD,7.2981,7.364
31-08-20_11:46,USD,7.2981,7.364
31-08-20_11:47,USD,7.2981,7.364
31-08-20_11:47,USD,7.298,7.3639
31-08-20_11:48,USD,7.298,7.3639
31-08-20_11:48,USD,7.2985,7.3644
31-08-20_11:49,USD,7.2985,7.3644
31-08-20_11:49,USD,7.298,7.3639
31-08-20_11:50,USD,7.298,7.3639
31-08-20_11:50,USD,7.2981,7.364
31-08-20_11:51,USD,7.2981,7.364
31-08-20_11:51,USD,7.2984,7.3643
31-08-20_11:52,USD,7.2984,7.3643
31-08-20_11:52,USD,7.2982,7.3641
31-08-20_11:53,USD,7.2982,7.3641
31-08-20_11:54,USD,7.2982,7.3641
31-08-20_11:54,USD,7.2982,7.3641
31-08-20_11:55,USD,7.2981,7.364
31-08-20_11:55,USD,7.2987,7.3646
31-08-20_11:56,USD,7.2987,7.3646
31-08-20_11:56,USD,7.3011,7.3671
31-08-20_11:57,USD,7.3011,7.3671
31-08-20_11:57,USD,7.3033,7.3693
31-08-20_11:58,USD,7.3033,7.3693
31-08-20_11:58,USD,7.3033,7.3693
31-08-20_11:59,USD,7.3033,7.3693
31-08-20_11:59,USD,7.3026,7.3686
31-08-20_12:00,USD,7.3026,7.3686
31-08-20_12:00,USD,7.3024,7.3684
31-08-20_12:01,USD,7.3024,7.3684
31-08-20_12:01,USD,7.3038,7.3698
31-08-20_12:02,USD,7.3038,7.3698
31-08-20_12:02,USD,7.3027,7.3687
31-08-20_12:03,USD,7.3027,7.3687
31-08-20_12:03,USD,7.3036,7.3696
31-08-20_12:04,USD,7.3036,7.3696
31-08-20_12:04,USD,7.306,7.372
31-08-20_12:05,USD,7.306,7.372
31-08-20_12:05,USD,7.3067,7.3727
31-08-20_12:06,USD,7.3067,7.3727
31-08-20_12:06,USD,7.3067,7.3727
31-08-20_12:07,USD,7.3067,7.3727
31-08-20_12:07,USD,7.3067,7.3727
31-08-20_12:08,USD,7.3067,7.3727
31-08-20_12:08,USD,7.3067,7.3727
31-08-20_12:09,USD,7.3067,7.3727
31-08-20_12:09,USD,7.3079,7.3739
31-08-20_12:10,USD,7.3079,7.3739
31-08-20_12:10,USD,7.3083,7.3743
31-08-20_12:11,USD,7.3083,7.3743
31-08-20_12:12,USD,7.3083,7.3743
31-08-20_12:12,USD,7.3083,7.3743
31-08-20_12:13,USD,7.3082,7.3742
31-08-20_12:13,USD,7.3082,7.3742
31-08-20_12:14,USD,7.3086,7.3746
31-08-20_12:14,USD,7.3086,7.3746
31-08-20_12:15,USD,7.3084,7.3744
31-08-20_12:15,USD,7.3084,7.3744
31-08-20_12:16,USD,7.3083,7.3743
31-08-20_12:16,USD,7.3083,7.3743
31-08-20_12:17,USD,7.3082,7.3742
31-08-20_12:17,USD,7.3082,7.3742
31-08-20_12:18,USD,7.3083,7.3743
31-08-20_12:18,USD,7.3083,7.3743
31-08-20_12:19,USD,7.3083,7.3743
31-08-20_12:19,USD,7.3084,7.3744
31-08-20_12:20,USD,7.3084,7.3744
31-08-20_12:20,USD,7.3082,7.3742
31-08-20_12:21,USD,7.3082,7.3742
31-08-20_12:21,USD,7.3078,7.3738
31-08-20_12:22,USD,7.3078,7.3738
31-08-20_12:22,USD,7.3081,7.3741
31-08-20_12:23,USD,7.3081,7.3741
31-08-20_12:23,USD,7.3087,7.3747
31-08-20_12:24,USD,7.3087,7.3747
31-08-20_12:24,USD,7.3087,7.3747
31-08-20_12:25,USD,7.3087,7.3747
31-08-20_12:25,USD,7.3095,7.3755
31-08-20_12:26,USD,7.3095,7.3755
31-08-20_12:26,USD,7.3098,7.3758
31-08-20_12:27,USD,7.3098,7.3758
31-08-20_12:27,USD,7.3097,7.3757
31-08-20_12:28,USD,7.3097,7.3757
31-08-20_12:28,USD,7.3096,7.3756
31-08-20_12:29,USD,7.3096,7.3756
31-08-20_12:30,USD,7.31,7.376
31-08-20_12:30,USD,7.31,7.376
31-08-20_12:31,USD,7.3097,7.3757
31-08-20_12:31,USD,7.3097,7.3757
31-08-20_12:32,USD,7.3101,7.3761
31-08-20_12:32,USD,7.3101,7.3761
31-08-20_12:33,USD,7.3096,7.3756
31-08-20_12:33,USD,7.3096,7.3756
31-08-20_12:34,USD,7.3098,7.3758
31-08-20_12:34,USD,7.3098,7.3758
31-08-20_12:35,USD,7.3098,7.3758
31-08-20_12:35,USD,7.3098,7.3758
31-08-20_12:36,USD,7.31,7.376
31-08-20_12:36,USD,7.31,7.376
31-08-20_12:37,USD,7.3109,7.3769
31-08-20_12:37,USD,7.3109,7.3769
31-08-20_12:38,USD,7.3103,7.3763
31-08-20_12:38,USD,7.3103,7.3763
31-08-20_12:39,USD,7.3107,7.3767
31-08-20_12:39,USD,7.3107,7.3767
31-08-20_12:40,USD,7.3107,7.3767
31-08-20_12:40,USD,7.3107,7.3767
31-08-20_12:41,USD,7.3112,7.3772
31-08-20_12:41,USD,7.3108,7.3768
31-08-20_12:42,USD,7.3108,7.3768
31-08-20_12:42,USD,7.311,7.377
31-08-20_12:43,USD,7.311,7.377
31-08-20_12:43,USD,7.311,7.377
31-08-20_12:44,USD,7.311,7.377
31-08-20_12:44,USD,7.311,7.377
31-08-20_12:45,USD,7.311,7.377
31-08-20_12:45,USD,7.3111,7.3771
31-08-20_12:46,USD,7.3111,7.3771
31-08-20_12:46,USD,7.3112,7.3772
31-08-20_12:47,USD,7.3112,7.3772
31-08-20_12:48,USD,7.3125,7.3785
31-08-20_12:48,USD,7.3125,7.3785
31-08-20_12:49,USD,7.3116,7.3776
31-08-20_12:49,USD,7.3116,7.3776
31-08-20_12:50,USD,7.3118,7.3778
31-08-20_12:50,USD,7.3118,7.3778
31-08-20_12:51,USD,7.3134,7.3794
31-08-20_12:51,USD,7.3134,7.3794
31-08-20_12:52,USD,7.3136,7.3796
31-08-20_12:52,USD,7.3136,7.3796
31-08-20_12:53,USD,7.3166,7.3826
31-08-20_12:53,USD,7.3166,7.3826
31-08-20_12:54,USD,7.3169,7.3829
31-08-20_12:54,USD,7.3169,7.3829
31-08-20_12:55,USD,7.3169,7.3829
31-08-20_12:55,USD,7.3184,7.3844
31-08-20_12:56,USD,7.3184,7.3844
31-08-20_12:56,USD,7.3183,7.3843
31-08-20_12:57,USD,7.3183,7.3843
31-08-20_12:57,USD,7.3194,7.3855
31-08-20_12:58,USD,7.3194,7.3855
31-08-20_12:58,USD,7.3194,7.3855
